GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr	study_items	common1	common2	in_pop	total_pop	fold_enrichment
GO:0015098	MF	e	molybdate ion transmembrane transporter activity	2/2	2/2633	2.885979564956469e-07	6.0	2.0	0.0	P09833, P0AF01	yciG	fliS	2	2633	1316.5
GO:0031297	BP	e	replication fork processing	2/2	2/2633	2.885979564956469e-07	8.0	2.0	0.0	P03018, P0A814	malF	malK	2	2633	1316.5
GO:0004738	MF	e	pyruvate dehydrogenase activity	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P06959, P0AFG8	cueO	copA	2	2633	1316.5
GO:0009294	BP	e	DNA mediated transformation	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P77366, Q46905	kefC	fhuD	2	2633	1316.5
GO:0004106	MF	e	chorismate mutase activity	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P07023, P0A9J8	lysA	lysR	2	2633	1316.5
GO:0009292	BP	e	genetic transfer	2/2	2/2633	2.885979564956469e-07	3.0	2.0	0.0	P77366, Q46905	kefC	fhuD	2	2633	1316.5
GO:0030244	BP	e	cellulose biosynthetic process	2/2	2/2633	2.885979564956469e-07	9.0	2.0	0.0	P37653, P37655	purF	purL	2	2633	1316.5
GO:0042709	CC	e	succinate-CoA ligase complex	2/2	2/2633	2.885979564956469e-07	5.0	2.0	0.0	P0A836, P0AGE9	proC	purL	2	2633	1316.5
GO:0009333	CC	e	cysteine synthase complex	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P0A9D4, P0ABK5	guaA	purA	2	2633	1316.5
GO:0009379	CC	e	Holliday junction helicase complex	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P0A809, P24230	ruvA	recG	2	2633	1316.5
GO:0004781	MF	e	sulfate adenylyltransferase (ATP) activity	2/2	2/2633	2.885979564956469e-07	7.0	2.0	0.0	P21156, P23845	cysD	cysN	2	2633	1316.5
GO:0031992	MF	e	energy transducer activity	2/2	2/2633	2.885979564956469e-07	2.0	2.0	0.0	P02929, P0ABV2	purM	purF	2	2633	1316.5
GO:0005951	CC	e	carbamoyl-phosphate synthase complex	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P00968, P0A6F1	pdxA	thiD	2	2633	1316.5
GO:0042843	BP	e	D-xylose catabolic process	2/2	2/2633	2.885979564956469e-07	7.0	2.0	0.0	P00944, P09099	pyrC	pyrE	2	2633	1316.5
GO:0042970	MF	e	homoserine transmembrane transporter activity	2/2	2/2633	2.885979564956469e-07	9.0	2.0	0.0	P0AG34, P0AG38	hisI	tyrA	2	2633	1316.5
GO:0070905	MF	e	serine binding	2/2	2/2633	2.885979564956469e-07	6.0	2.0	0.0	P0A825, P0A9T0	purA	purL	2	2633	1316.5
GO:0004088	MF	e	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	2/2	2/2633	2.885979564956469e-07	5.0	2.0	0.0	P00968, P0A6F1	pdxA	thiD	2	2633	1316.5
GO:0042968	BP	e	homoserine transport	2/2	2/2633	2.885979564956469e-07	10.0	2.0	0.0	P0AG34, P0AG38	tolB	tatC	2	2633	1316.5
GO:0009361	CC	e	succinate-CoA ligase complex (ADP-forming)	2/2	2/2633	2.885979564956469e-07	6.0	2.0	0.0	P0A836, P0AGE9	pyrC	purU	2	2633	1316.5
GO:0004779	MF	e	sulfate adenylyltransferase activity	2/2	2/2633	2.885979564956469e-07	6.0	2.0	0.0	P21156, P23845	cysD	cysN	2	2633	1316.5
GO:0042834	MF	e	peptidoglycan binding	2/2	2/2633	2.885979564956469e-07	4.0	2.0	0.0	P09549, P69776	potE	potA	2	2633	1316.5
GO:0047527	MF	e	2,3-dihydroxybenzoate-serine ligase activity	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P0ADI4, P11454	entB	entF	3	2633	877.6666666666667
GO:0009380	CC	e	excinuclease repair complex	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P0A698, P0A8G0	leuA	leuC	3	2633	877.6666666666667
GO:0008713	MF	e	ADP-heptose-lipopolysaccharide heptosyltransferase activity	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P25742, P37692	fucK	agp	3	2633	877.6666666666667
GO:0006301	BP	e	postreplication repair	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P0AG11, P76257	aroB	aroC	3	2633	877.6666666666667
GO:0031177	MF	e	phosphopantetheine binding	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0ADI4, P11454	entB	entF	3	2633	877.6666666666667
GO:1905347	CC	e	endodeoxyribonuclease complex	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0A698, P0A8G0	nuoK	nuoG	3	2633	877.6666666666667
GO:0005363	MF	e	maltose transmembrane transporter activity	2/2	3/2633	8.657938694869402e-07	6.0	2.0	0.0	P02916, P68183	atpB	atpA	3	2633	877.6666666666667
GO:1905348	CC	e	endonuclease complex	2/2	3/2633	8.657938694869402e-07	3.0	2.0	0.0	P0A698, P0A8F8	nuoB	nuoF	3	2633	877.6666666666667
GO:0008920	MF	e	lipopolysaccharide heptosyltransferase activity	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P25742, P37692	ilvD	pheA	3	2633	877.6666666666667
GO:0009380	CC	e	excinuclease repair complex	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P0A698, P0A8F8	nuoB	nuoF	3	2633	877.6666666666667
GO:0006571	BP	e	tyrosine biosynthetic process	2/2	3/2633	8.657938694869402e-07	10.0	2.0	0.0	P07023, P0A9J8	hisB	hisG	3	2633	877.6666666666667
GO:0006570	BP	e	tyrosine metabolic process	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P07023, P0A9J8	hisB	hisG	3	2633	877.6666666666667
GO:1990228	CC	e	sulfurtransferase complex	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P45531, P45532	yheM	yheN	3	2633	877.6666666666667
GO:0006561	BP	e	proline biosynthetic process	2/2	3/2633	8.657938694869402e-07	10.0	2.0	0.0	P0A7B5, P0A9L8	rffM	rffH	3	2633	877.6666666666667
GO:0015761	BP	e	mannose transmembrane transport	2/2	3/2633	8.657938694869402e-07	9.0	2.0	0.0	P69797, P69805	rhtB	rhtC	3	2633	877.6666666666667
GO:0004129	MF	e	cytochrome-c oxidase activity	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.002	P0ABI8, P0ABJ1	cyoB	cyoA	3	2633	877.6666666666667
GO:0016676	MF	e	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.002	P0ABI8, P0ABJ1	cyoB	cyoA	3	2633	877.6666666666667
GO:0019464	BP	e	glycine decarboxylation via glycine cleavage system	2/2	3/2633	8.657938694869402e-07	11.0	2.0	0.0	P0A6T9, P33195	thrA	metB	3	2633	877.6666666666667
GO:0006535	BP	e	cysteine biosynthetic process from serine	2/2	3/2633	8.657938694869402e-07	11.0	2.0	0.0	P0A9D4, P0ABK5	guaA	purA	3	2633	877.6666666666667
GO:1905347	CC	e	endodeoxyribonuclease complex	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0A698, P0A8F8	nuoB	nuoF	3	2633	877.6666666666667
GO:1905347	CC	e	endodeoxyribonuclease complex	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0A8F8, P0A8G0	atpA	atpE	3	2633	877.6666666666667
GO:0055129	BP	e	L-proline biosynthetic process	2/2	3/2633	8.657938694869402e-07	11.0	2.0	0.0	P0A7B5, P0A9L8	rffM	rffH	3	2633	877.6666666666667
GO:1990228	CC	e	sulfurtransferase complex	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P45530, P45532	infC	rbfA	3	2633	877.6666666666667
GO:0045239	CC	e	tricarboxylic acid cycle enzyme complex	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0A836, P0AGE9	tolB	envC	3	2633	877.6666666666667
GO:1990060	CC	e	maltose transport complex	2/2	3/2633	8.657938694869402e-07	6.0	2.0	0.0	P02916, P68183	atpB	atpA	3	2633	877.6666666666667
GO:0004129	MF	e	cytochrome-c oxidase activity	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P0ABI8, P0ABJ3	cyoB	cyoC	3	2633	877.6666666666667
GO:0016676	MF	e	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0ABI8, P0ABJ3	cyoB	cyoC	3	2633	877.6666666666667
GO:0008965	MF	e	phosphoenolpyruvate-protein phosphotransferase activity	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P08839, P0AA04	ptsI	ptsH	3	2633	877.6666666666667
GO:0022870	MF	e	protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P69797, P69805	manX	manZ	3	2633	877.6666666666667
GO:0009338	CC	e	exodeoxyribonuclease V complex	2/2	3/2633	8.657938694869402e-07	3.0	2.0	0.0	P07648, P08394	recC	recB	3	2633	877.6666666666667
GO:0008854	MF	e	exodeoxyribonuclease V activity	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P07648, P08394	recC	recB	3	2633	877.6666666666667
GO:0015578	MF	e	mannose transmembrane transporter activity	2/2	3/2633	8.657938694869402e-07	7.0	2.0	0.0	P69797, P69805	manX	manZ	3	2633	877.6666666666667
GO:0015423	MF	e	maltose-transporting ATPase activity	2/2	3/2633	8.657938694869402e-07	13.0	2.0	0.0	P02916, P68183	atpB	atpA	3	2633	877.6666666666667
GO:1905348	CC	e	endonuclease complex	2/2	3/2633	8.657938694869402e-07	3.0	2.0	0.0	P0A8F8, P0A8G0	atpA	atpE	3	2633	877.6666666666667
GO:1990281	CC	e	efflux pump complex	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P02930, P31224	tolC	acrB	3	2633	877.6666666666667
GO:0019464	BP	e	glycine decarboxylation via glycine cleavage system	2/2	3/2633	8.657938694869402e-07	11.0	2.0	0.0	P0A6T9, P27248	gcvH	gcvT	3	2633	877.6666666666667
GO:0004129	MF	e	cytochrome-c oxidase activity	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P0ABJ1, P0ABJ3	cyoA	cyoC	3	2633	877.6666666666667
GO:0016676	MF	e	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0ABJ1, P0ABJ3	cyoA	cyoC	3	2633	877.6666666666667
GO:0017038	BP	e	protein import	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P0A855, P0ABU9	xylH	gntT	3	2633	877.6666666666667
GO:0009380	CC	e	excinuclease repair complex	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P0A8F8, P0A8G0	atpA	atpE	3	2633	877.6666666666667
GO:0047527	MF	e	2,3-dihydroxybenzoate-serine ligase activity	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P0ADI4, P10378	entB	entE	3	2633	877.6666666666667
GO:0005539	MF	e	glycosaminoglycan binding	2/2	3/2633	8.657938694869402e-07	3.0	2.0	0.0	P09549, P69776	potE	potA	3	2633	877.6666666666667
GO:0019464	BP	e	glycine decarboxylation via glycine cleavage system	2/2	3/2633	8.657938694869402e-07	11.0	2.0	0.0	P27248, P33195	gcvT	gcvP	3	2633	877.6666666666667
GO:1990281	CC	e	efflux pump complex	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0AE06, P31224	pheA	hisA	3	2633	877.6666666666667
GO:0032324	BP	e	molybdopterin cofactor biosynthetic process	2/2	3/2633	8.657938694869402e-07	11.0	2.0	0.0	P12281, P30749	carB	carA	3	2633	877.6666666666667
GO:0015422	MF	e	oligosaccharide-transporting ATPase activity	2/2	3/2633	8.657938694869402e-07	12.0	2.0	0.0	P02916, P68183	atpB	atpA	3	2633	877.6666666666667
GO:0030163	BP	e	protein catabolic process	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P0A6G7, P0A6H1	purM	guaB	3	2633	877.6666666666667
GO:1905348	CC	e	endonuclease complex	2/2	3/2633	8.657938694869402e-07	3.0	2.0	0.0	P0A698, P0A8G0	leuA	leuC	3	2633	877.6666666666667
GO:0120010	BP	e	intermembrane phospholipid transfer	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P0ADV7, P76506	hisC	hisA	3	2633	877.6666666666667
GO:0006561	BP	e	proline biosynthetic process	2/2	3/2633	8.657938694869402e-07	10.0	2.0	0.0	P07004, P0A9L8	proA	proC	3	2633	877.6666666666667
GO:0033177	CC	e	proton-transporting two-sector ATPase complex, proton-transporting domain	2/2	3/2633	8.657938694869402e-07	3.0	2.0	0.0	P0AB98, P0ABA0	atpB	atpF	3	2633	877.6666666666667
GO:0015422	MF	e	oligosaccharide-transporting ATPase activity	2/2	3/2633	8.657938694869402e-07	12.0	2.0	0.0	P02916, P68187	ilvA	ilvD	3	2633	877.6666666666667
GO:0015423	MF	e	maltose-transporting ATPase activity	2/2	3/2633	8.657938694869402e-07	13.0	2.0	0.0	P02916, P68187	ilvA	ilvD	3	2633	877.6666666666667
GO:0005363	MF	e	maltose transmembrane transporter activity	2/2	3/2633	8.657938694869402e-07	6.0	2.0	0.0	P02916, P68187	ilvA	ilvD	3	2633	877.6666666666667
GO:1990060	CC	e	maltose transport complex	2/2	3/2633	8.657938694869402e-07	6.0	2.0	0.0	P02916, P68187	ilvA	ilvD	3	2633	877.6666666666667
GO:0015689	BP	e	molybdate ion transport	2/2	3/2633	8.657938694869402e-07	7.0	2.0	0.0	P09833, P0AF01	yciG	fliS	3	2633	877.6666666666667
GO:0055129	BP	e	L-proline biosynthetic process	2/2	3/2633	8.657938694869402e-07	11.0	2.0	0.004	P07004, P0A7B5	nuoE	nuoG	3	2633	877.6666666666667
GO:0055129	BP	e	L-proline biosynthetic process	2/2	3/2633	8.657938694869402e-07	11.0	2.0	0.0	P07004, P0A9L8	proA	proC	3	2633	877.6666666666667
GO:0006561	BP	e	proline biosynthetic process	2/2	3/2633	8.657938694869402e-07	10.0	2.0	0.004	P07004, P0A7B5	nuoE	nuoG	3	2633	877.6666666666667
GO:0050667	BP	e	homocysteine metabolic process	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P00935, P25665	purF	purU	3	2633	877.6666666666667
GO:0045263	CC	e	proton-transporting ATP synthase complex, coupling factor F(o)	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0ABA0, P68699	ilvA	glyA	3	2633	877.6666666666667
GO:0042413	BP	e	carnitine catabolic process	2/2	3/2633	8.657938694869402e-07	7.0	2.0	0.0	P31551, P31574	pdxB	pdxA	3	2633	877.6666666666667
GO:0006579	BP	e	amino-acid betaine catabolic process	2/2	3/2633	8.657938694869402e-07	6.0	2.0	0.0	P31551, P31574	pdxB	pdxA	3	2633	877.6666666666667
GO:0033177	CC	e	proton-transporting two-sector ATPase complex, proton-transporting domain	2/2	3/2633	8.657938694869402e-07	3.0	2.0	0.0	P0ABA0, P68699	ilvA	glyA	3	2633	877.6666666666667
GO:0015687	BP	e	ferric-hydroxamate import into cell	2/2	3/2633	8.657938694869402e-07	13.0	2.0	0.0	P07821, P07822	uvrD	recB	3	2633	877.6666666666667
GO:0045263	CC	e	proton-transporting ATP synthase complex, coupling factor F(o)	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0AB98, P68699	atpB	atpE	3	2633	877.6666666666667
GO:0033177	CC	e	proton-transporting two-sector ATPase complex, proton-transporting domain	2/2	3/2633	8.657938694869402e-07	3.0	2.0	0.0	P0AB98, P68699	atpB	atpE	3	2633	877.6666666666667
GO:1990228	CC	e	sulfurtransferase complex	2/2	3/2633	8.657938694869402e-07	5.0	2.0	0.0	P45530, P45531	yheL	yheM	3	2633	877.6666666666667
GO:1990281	CC	e	efflux pump complex	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P02930, P0AE06	tolC	acrA	3	2633	877.6666666666667
GO:0045263	CC	e	proton-transporting ATP synthase complex, coupling factor F(o)	2/2	3/2633	8.657938694869402e-07	4.0	2.0	0.0	P0AB98, P0ABA0	atpB	atpF	3	2633	877.6666666666667
GO:1990060	CC	e	maltose transport complex	2/2	3/2633	8.657938694869402e-07	6.0	2.0	0.0	P68183, P68187	fdnH	narH	3	2633	877.6666666666667
GO:0046656	BP	e	folic acid biosynthetic process	2/2	3/2633	8.657938694869402e-07	8.0	2.0	0.0	P08192, P0ABQ4	nuoB	nuoG	3	2633	877.6666666666667
GO:0015422	MF	e	oligosaccharide-transporting ATPase activity	2/2	3/2633	8.657938694869402e-07	12.0	2.0	0.0	P68183, P68187	fdnH	narH	3	2633	877.6666666666667
GO:0015423	MF	e	maltose-transporting ATPase activity	2/2	3/2633	8.657938694869402e-07	13.0	2.0	0.0	P68183, P68187	fdnH	narH	3	2633	877.6666666666667
GO:0005363	MF	e	maltose transmembrane transporter activity	2/2	3/2633	8.657938694869402e-07	6.0	2.0	0.0	P68183, P68187	fdnH	narH	3	2633	877.6666666666667
GO:0015453	MF	e	oxidoreduction-driven active transmembrane transporter activity	2/2	4/2633	1.7315877389738809e-06	5.0	2.0	0.0	P0ABI8, P0ABJ3	cyoB	cyoC	4	2633	658.25
GO:0015920	BP	e	lipopolysaccharide transport	2/2	4/2633	1.7315877389738809e-06	6.0	2.0	0.0	P31554, P37642	hisC	hisF	4	2633	658.25
GO:0034627	BP	e	'de novo' NAD biosynthetic process	2/2	4/2633	1.7315877389738809e-06	12.0	2.0	0.0	P10902, P11458	nadB	nadA	4	2633	658.25
GO:0033281	CC	e	TAT protein transport complex	2/2	4/2633	1.7315877389738809e-06	4.0	2.0	0.0	P69425, P69428	tatB	tatA	4	2633	658.25
GO:1990063	CC	e	Bam protein complex	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P0A937, P77774	smpA	bamB	4	2633	658.25
GO:0009977	MF	e	proton motive force dependent protein transmembrane transporter activity	2/2	4/2633	1.7315877389738809e-06	7.0	2.0	0.0	P69425, P69428	tatB	tatA	4	2633	658.25
GO:0006564	BP	e	L-serine biosynthetic process	2/2	4/2633	1.7315877389738809e-06	10.0	2.0	0.0	P0AGB0, P23721	serB	serC	4	2633	658.25
GO:0033178	CC	e	proton-transporting two-sector ATPase complex, catalytic domain	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P0A6E6, P0ABB4	tatB	tatA	4	2633	658.25
GO:0006564	BP	e	L-serine biosynthetic process	2/2	4/2633	1.7315877389738809e-06	10.0	2.0	0.0	P0A9T0, P0AGB0	serA	serB	4	2633	658.25
GO:0045261	CC	e	proton-transporting ATP synthase complex, catalytic core F(1)	2/2	4/2633	1.7315877389738809e-06	4.0	2.0	0.0	P0A6E6, P0ABB4	tatB	tatA	4	2633	658.25
GO:0019355	BP	e	nicotinamide nucleotide biosynthetic process from aspartate	2/2	4/2633	1.7315877389738809e-06	11.0	2.0	0.0	P11458, P30011	tatC	tatA	4	2633	658.25
GO:0006560	BP	e	proline metabolic process	2/2	4/2633	1.7315877389738809e-06	9.0	2.0	0.0	P07004, P0A9L8	proA	proC	4	2633	658.25
GO:0034628	BP	e	'de novo' NAD biosynthetic process from aspartate	2/2	4/2633	1.7315877389738809e-06	13.0	2.0	0.0	P11458, P30011	tatC	tatA	4	2633	658.25
GO:0015768	BP	e	maltose transport	2/2	4/2633	1.7315877389738809e-06	8.0	2.0	0.0	P02916, P0AEX9	metF	metE	4	2633	658.25
GO:0000724	BP	e	double-strand break repair via homologous recombination	2/2	4/2633	1.7315877389738809e-06	9.0	2.0	0.0	P07648, P08394	recC	recB	4	2633	658.25
GO:0006952	BP	e	defense response	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P07648, P08394	recC	recB	4	2633	658.25
GO:1990063	CC	e	Bam protein complex	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P0A940, P77774	yaeT	bamB	4	2633	658.25
GO:0015453	MF	e	oxidoreduction-driven active transmembrane transporter activity	2/2	4/2633	1.7315877389738809e-06	5.0	2.0	0.0	P0ABJ1, P0ABJ3	cyoA	cyoC	4	2633	658.25
GO:0015002	MF	e	heme-copper terminal oxidase activity	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P0ABJ1, P0ABJ3	cyoA	cyoC	4	2633	658.25
GO:0009486	MF	e	cytochrome bo3 ubiquinol oxidase activity	2/2	4/2633	1.7315877389738809e-06	4.0	2.0	0.0	P0ABJ1, P0ABJ3	cyoA	cyoC	4	2633	658.25
GO:0015768	BP	e	maltose transport	2/2	4/2633	1.7315877389738809e-06	8.0	2.0	0.0	P02916, P68183	atpB	atpA	4	2633	658.25
GO:1990063	CC	e	Bam protein complex	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P0A937, P77774	smpA	bamB	4	2633	658.25
GO:0015002	MF	e	heme-copper terminal oxidase activity	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P0ABI8, P0ABJ3	cyoB	cyoC	4	2633	658.25
GO:0009486	MF	e	cytochrome bo3 ubiquinol oxidase activity	2/2	4/2633	1.7315877389738809e-06	4.0	2.0	0.0	P0ABI8, P0ABJ3	cyoB	cyoC	4	2633	658.25
GO:0016675	MF	e	oxidoreductase activity, acting on a heme group of donors	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P0ABI8, P0ABJ3	cyoB	cyoC	4	2633	658.25
GO:0046039	BP	e	GTP metabolic process	2/2	4/2633	1.7315877389738809e-06	10.0	2.0	0.0	P12281, P30749	carB	carA	4	2633	658.25
GO:1990063	CC	e	Bam protein complex	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P0A937, P0A940	smpA	yaeT	4	2633	658.25
GO:0015768	BP	e	maltose transport	2/2	4/2633	1.7315877389738809e-06	8.0	2.0	0.0	P68183, P68187	argA	argG	4	2633	658.25
GO:0043953	BP	e	protein transport by the Tat complex	2/2	4/2633	1.7315877389738809e-06	9.0	2.0	0.0	P69423, P69428	moeA	moaE	4	2633	658.25
GO:0006546	BP	e	glycine catabolic process	2/2	4/2633	1.7315877389738809e-06	10.0	2.0	0.0	P27248, P33195	gcvT	gcvP	4	2633	658.25
GO:0140271	BP	e	hexose import across plasma membrane	2/2	4/2633	1.7315877389738809e-06	9.0	2.0	0.0	P69797, P69805	rhtB	rhtC	4	2633	658.25
GO:0000104	MF	e	succinate dehydrogenase activity	2/2	4/2633	1.7315877389738809e-06	4.0	2.0	0.0	P0AC41, P69054	ccmH	dmsA	4	2633	658.25
GO:0098704	BP	e	carbohydrate import across plasma membrane	2/2	4/2633	1.7315877389738809e-06	7.0	2.0	0.0	P69797, P69805	rhtB	rhtC	4	2633	658.25
GO:0035999	BP	e	tetrahydrofolate interconversion	2/2	4/2633	1.7315877389738809e-06	8.0	2.0	0.0	P0AEZ1, P25665	pyrE	purF	4	2633	658.25
GO:0098708	BP	e	glucose import across plasma membrane	2/2	4/2633	1.7315877389738809e-06	11.0	2.0	0.0	P69797, P69805	rhtB	rhtC	4	2633	658.25
GO:0015764	BP	e	N-acetylglucosamine transport	2/2	4/2633	1.7315877389738809e-06	6.0	2.0	0.0	P69797, P69805	rhtB	rhtC	4	2633	658.25
GO:0006546	BP	e	glycine catabolic process	2/2	4/2633	1.7315877389738809e-06	10.0	2.0	0.0	P0A6T9, P27248	gcvH	gcvT	4	2633	658.25
GO:0034627	BP	e	'de novo' NAD biosynthetic process	2/2	4/2633	1.7315877389738809e-06	12.0	2.0	0.0	P11458, P30011	tatC	tatA	4	2633	658.25
GO:0009319	CC	e	cytochrome o ubiquinol oxidase complex	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P0ABI8, P0ABJ3	cyoB	cyoC	4	2633	658.25
GO:0006188	BP	e	IMP biosynthetic process	2/2	4/2633	1.7315877389738809e-06	11.0	2.0	0.0	P08179, P15254	trpB	serC	4	2633	658.25
GO:0005548	MF	e	phospholipid transporter activity	2/2	4/2633	1.7315877389738809e-06	3.0	2.0	0.0	P63386, P64604	yaeT	yfgC	4	2633	658.25
GO:0009256	BP	e	10-formyltetrahydrofolate metabolic process	2/2	4/2633	1.7315877389738809e-06	8.0	2.0	0.0	P08192, P0ABQ4	nuoB	nuoG	4	2633	658.25
GO:0043953	BP	e	protein transport by the Tat complex	2/2	4/2633	1.7315877389738809e-06	9.0	2.0	0.0	P69425, P69428	proB	argC	4	2633	658.25
