ids	Pwy	pcomplex	kegg_modules	operon	regulator_name
3457	NONMEVIPP-PWY	CPLX0-7564	eco_M00096  C5 isoprenoid biosynthesis, non-mevalonate pathway	TU0-14253	NA
3457	NONMEVIPP-PWY	CPLX0-7564	eco_M00096  C5 isoprenoid biosynthesis, non-mevalonate pathway	TU0-14394	NA
2116	PWY-6605	NA	NA	TU0-12797	NA
2116	PWY-7196	NA	NA	TU0-12797	NA
2116	PWY-6556	NA	NA	TU0-12797	NA
2116	PWY-7195	NA	NA	TU0-12797	NA
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
3671	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
3671	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
3671	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
3671	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
3671	PWY-7211	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
3671	ARG+POLYAMINE-SYN	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
3671	PWY-5686	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	ArgR
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	Fis
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	IHF
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	PepA
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	PurR
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	RutR
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
2207	PRPP-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	ArgR
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	Fis
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	IHF
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	PepA
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	PurR
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	RutR
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
2207	GLUTAMINDEG-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	ArgR
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	ArgR
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	Fis
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	Fis
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	Fis
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	IHF
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	IHF
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	IHF
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	PepA
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PepA
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PepA
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	PurR
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	PurR
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	PurR
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	RutR
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	RutR
2207	ARGSYN-PWY	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00109	RutR
2207	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU0-6884	ArgR
2207	PWY0-162	CARBPSYN-CPLX	eco_M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	TU00110	ArgR
